budget,homepage,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,vote_average,vote_count,movie_type,production_house,country,country _code
200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,107.928811,30-Oct-08,586090727,106,Released,"For love, for hate, for justice, for revenge.",6.1,2965,"Adventure, Action, Thriller, Crime",Eon Productions,United Kingdom,GB
200000000,http://www.worldwarzmovie.com,72190,en,World War Z,81.834855,20-Jun-13,531865000,116,Released,Remember Philly!,6.7,5560,"Action, Drama, Horror, Science Fiction, Thriller",Paramount Pictures,United States of America,US
200000000,http://www.titanicmovie.com,597,en,Titanic,100.025899,18-Nov-97,1845034188,194,Released,Nothing on Earth could come between them.,7.5,7562,"Drama, Romance, Thriller",Paramount Pictures,United States of America,US
200000000,http://www.theamazingspiderman.com,102382,en,The Amazing Spider-Man 2,89.270217,16-Apr-14,705717432,142,Released,No more secrets.,6.5,4179,"Action, Adventure, Fantasy",Columbia Pictures,United States of America,US
200000000,http://www.sonypictures.com/movies/spider-man2/,558,en,Spider-Man 2,35.149586,25-Jun-04,783766341,127,Released,There's a hero in all of us.,6.7,4321,"Action, Adventure, Fantasy",Columbia Pictures,United States of America,US
200000000,http://www.ozthegreatandpowerfulmovie.com,68728,en,Oz: The Great and Powerful,46.985445,07-Mar-13,491868548,130,Released,"In Oz, nothing is what it seems",5.7,3530,"Fantasy, Adventure, Family",Walt Disney Pictures,United States of America,US
200000000,http://www.ironmanmovie.com/,10138,en,Iron Man 2,77.300194,28-Apr-10,623933331,124,Released,"It's not the armor that makes the hero, but the man inside.",6.6,6849,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,US
200000000,http://www.disney.go.com/cars/,49013,en,Cars 2,49.98659,11-Jun-11,559852396,106,Released,Ka-ciao!,5.8,2033,"Animation, Family, Adventure, Comedy",Walt Disney Pictures,United States of America,US
200000000,http://greenlanternmovie.warnerbros.com/,44912,en,Green Lantern,51.872839,16-Jun-11,219851172,114,Released,"In our darkest hour, there will be light.",5.1,2487,"Adventure, Action, Thriller, Science Fiction",De Line Pictures,United States of America,US
200000000,http://disney.go.com/wonderland/,12155,en,Alice in Wonderland,78.530105,03-Mar-10,1025491110,108,Released,You're invited to a very important date.,6.4,4645,"Family, Fantasy, Adventure",Walt Disney Pictures,United States of America,US
200000000,http://disney.go.com/toystory/,10193,en,Toy Story 3,59.995418,16-Jun-10,1066969703,103,Released,No toy gets left behind.,7.6,4597,"Animation, Family, Comedy",Walt Disney Pictures,United States of America,US
200000000,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,en,A Christmas Carol,39.744242,04-Nov-09,325233863,96,Released,Season's Greedings,6.6,1095,"Animation, Drama",Walt Disney,United States of America,US
195000000,http://www.transformersmovie.com/,38356,en,Transformers: Dark of the Moon,28.529607,28-Jun-11,1123746996,154,Released,The invasion we always feared. An enemy we never expected.,6.1,3299,"Action, Science Fiction, Adventure",Paramount Pictures,United States of America,US
195000000,http://jackthegiantkiller.warnerbros.com,81005,en,Jack the Giant Slayer,43.349855,27-Feb-13,197687603,114,Released,Prepare for a giant adventure,5.5,2598,"Action, Family, Fantasy",New Line Cinema,United States of America,US
190000000,,54138,en,Star Trek Into Darkness,78.291018,05-May-13,467365246,132,Released,Earth Will Fall,7.4,4418,"Action, Adventure, Science Fiction",Paramount Pictures,United States of America,US
190000000,http://www.furious7.com/,168259,en,Furious 7,102.322217,01-Apr-15,1506249360,137,Released,Vengeance Hits Home,7.3,4176,Action,Universal Pictures,Japan,JP
190000000,http://movies.disney.com/tomorrowland,158852,en,Tomorrowland,130.311355,19-May-15,209154322,130,Released,Imagine a world where nothing is impossible.,6.2,2846,"Adventure, Family, Mystery, Science Fiction",Walt Disney Pictures,United States of America,US
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,en,The Dark Knight,187.322927,16-Jul-08,1004558444,152,Released,Why So Serious?,8.2,12002,"Drama, Action, Crime, Thriller",DC Comics,United Kingdom,GB
185000000,http://www.startrekmovie.com/,188927,en,Star Trek Beyond,65.352913,07-Jul-16,343471816,122,Released,,6.6,2568,"Action, Adventure, Science Fiction",Paramount Pictures,United States of America,US
185000000,http://www.indianajones.com/site/index.html,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,21-May-08,786636033,122,Released,The adventure continues . . .,5.7,2495,"Adventure, Action",Lucasfilm,United States of America,US
185000000,http://disney.go.com/brave/#/home,62177,en,Brave,125.114374,21-Jun-12,538983207,93,Released,Change your fate.,6.7,4641,"Animation, Adventure, Comedy, Family, Action, Fantasy",Walt Disney Pictures,United States of America,US
180000000,,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,07-Dec-05,748806957,143,Released,Evil Has Reigned For 100 Years...,6.7,2629,"Adventure, Family, Fantasy",Walt Disney,United Kingdom,GB
180000000,http://legendoftarzan.com,258489,en,The Legend of Tarzan,42.741719,29-Jun-16,356743061,109,Released,Human. Nature.,5.5,2430,"Action, Adventure",Village Roadshow Pictures,Canada,CA
180000000,http://www.goldencompassmovie.com/index_german.html,2268,en,The Golden Compass,42.990906,04-Dec-07,372234864,113,Released,There are worlds beyond our own - the compass will show the way.,5.8,1303,"Adventure, Fantasy",New Line Cinema,United Kingdom,GB
180000000,http://www.pacificrimmovie.com/,68726,en,Pacific Rim,56.523205,11-Jul-13,407602906,131,Released,"To Fight Monsters, We Created Monsters",6.7,4794,"Action, Science Fiction, Adventure",Legendary Pictures,United States of America,US
180000000,http://movies.disney.com/maleficent,102651,en,Maleficent,110.620647,28-May-14,758539785,97,Released,Don't believe the fairy tale.,7,4496,"Fantasy, Adventure, Action, Family, Romance",Walt Disney Pictures,United States of America,US
180000000,http://disney.go.com/disneypictures/wall-e/,10681,en,WALL·E,66.390712,22-Jun-08,521311860,98,Released,An adventure beyond the ordinar-E.,7.8,6296,"Animation, Family",Walt Disney Pictures,United States of America,US
178000000,http://www.edgeoftomorrowmovie.com/,137113,en,Edge of Tomorrow,79.456485,27-May-14,370541256,113,Released,"Live, Die, Repeat",7.6,4858,"Action, Science Fiction",Village Roadshow Pictures,Australia,AU
178000000,http://www.foxmovies.com/movies/x-men-apocalypse,246655,en,X-Men: Apocalypse,139.272042,18-May-16,543934787,144,Released,Only the strong will survive,6.4,4721,Science Fiction,Twentieth Century Fox Film Corporation,United States of America,US
176000003,http://www.jupiterascending.com,76757,en,Jupiter Ascending,85.36908,04-Feb-15,183987723,124,Released,Expand your universe.,5.2,2768,"Science Fiction, Fantasy, Action, Adventure",Village Roadshow Pictures,United States of America,US
175000000,,64686,en,47 Ronin,41.796339,06-Dec-13,150962475,119,Released,For courage. For loyalty. For honor.,5.9,1326,"Drama, Action, Adventure, Fantasy",Mid Atlantic Films,United States of America,US
175000000,,652,en,Troy,66.803149,13-May-04,497409852,163,Released,For passion. For honor. For destiny. For victory. For love.,6.9,2759,"Adventure, Drama, War",Plan B Entertainment,United States of America,US
175000000,,9804,en,Waterworld,44.640292,28-Jul-95,264218220,135,Released,Beyond the horizon lies the secret to a new beginning.,5.9,992,"Adventure, Action",Universal Pictures,United States of America,US
175000000,http://www.gijoemovie.com/,14869,en,G.I. Joe: The Rise of Cobra,32.852443,04-Aug-09,302469017,118,Released,"When all else fails, they don't.",5.6,1962,"Adventure, Action, Thriller, Science Fiction",Paramount Pictures,Czech Republic,CZ
175000000,http://movies.disney.com/the-jungle-book-2016,278927,en,The Jungle Book,94.199316,07-Apr-16,966550600,106,Released,,6.7,2892,"Family, Adventure, Drama, Fantasy",Walt Disney Pictures,United Kingdom,GB
175000000,http://www.suicidesquad.com/,297761,en,Suicide Squad,90.23792,02-Aug-16,745000000,123,Released,Worst Heroes Ever,5.9,7458,"Action, Adventure, Crime, Fantasy, Science Fiction",DC Comics,United States of America,US
175000000,http://www.monstersvsaliens.com/,15512,en,Monsters vs Aliens,36.167578,19-Mar-09,381509870,94,Released,"When aliens attack, monsters fight back.",6,1423,"Animation, Family, Adventure, Science Fiction",DreamWorks Animation,United States of America,US
175000000,http://www.evanalmighty.com/,2698,en,Evan Almighty,27.082182,09-Jun-07,173000000,96,Released,A comedy of biblical proportions,5.3,1151,"Fantasy, Comedy, Family",Columbia Pictures,United States of America,US
175000000,http://movies.disney.com/the-good-dinosaur,105864,en,The Good Dinosaur,51.692953,14-Nov-15,331926147,93,Released,Little Arms With Big Attitude,6.6,1736,"Adventure, Animation, Family",Walt Disney Pictures,United States of America,US
175000000,http://movies.disney.com/inside-out,150540,en,Inside Out,128.655964,09-Jun-15,857611174,94,Released,Meet the little voices inside your head.,8,6560,"Drama, Comedy, Animation, Family",Walt Disney Pictures,United States of America,US
175000000,http://disney.go.com/disneypictures/up/,14160,en,Up,92.201962,13-May-09,735099082,96,Released,,7.7,6870,"Animation, Comedy, Family, Adventure",Pixar Animation Studios,United States of America,US
170000000,,8487,en,Wild Wild West,40.748915,29-Jun-99,222104681,106,Released,It's a whole new west.,5.1,1020,"Action, Adventure, Comedy, Science Fiction, Western","Todman, Simon, LeMasters Productions",United States of America,US
170000000,http://www.hugomovie.com/,44826,en,Hugo,32.319043,22-Nov-11,185770160,126,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,7,2141,"Adventure, Drama, Family",Paramount Pictures,France,FR
170000000,http://movies.disney.com/alice-through-the-looking-glass,241259,en,Alice Through the Looking Glass,56.268916,25-May-16,299370084,113,Released,It's time for a little madness.,6.5,1725,Fantasy,Walt Disney Pictures,United Kingdom,GB
170000000,http://marvel.com/guardians,118340,en,Guardians of the Galaxy,481.098624,30-Jul-14,773328629,121,Released,All heroes start somewhere.,7.9,9742,"Action, Science Fiction, Adventure",Marvel Studios,United Kingdom,GB
170000000,http://www.dawnofapes.com/,119450,en,Dawn of the Planet of the Apes,243.791743,26-Jun-14,710644566,130,Released,One last chance for peace.,7.3,4410,"Science Fiction, Action, Drama, Thriller",Ingenious Media,United States of America,US
170000000,http://www.captainamericathewintersoldiermovie.com,100402,en,Captain America: The Winter Soldier,72.225265,20-Mar-14,714766572,136,Released,In heroes we trust.,7.6,5764,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,US
170000000,http://marvel.com/thor,76338,en,Thor: The Dark World,99.499595,29-Oct-13,644571402,112,Released,Delve into the darkness,6.8,4755,"Action, Adventure, Fantasy",Marvel Studios,United States of America,US
170000000,http://disney.go.com/tron/,20526,en,TRON: Legacy,73.79505,10-Dec-10,400062763,125,Released,The Game Has Changed.,6.3,2841,"Adventure, Action, Science Fiction",Walt Disney Pictures,United States of America,US
170000000,http://www.snowwhiteandthehuntsman.com/,58595,en,Snow White and the Huntsman,77.178973,30-May-12,396600000,127,Released,The Fairytale is Over,5.8,3118,"Adventure, Fantasy, Drama",Universal Pictures,United States of America,US
165000000,,5255,en,The Polar Express,47.323228,10-Nov-04,305875730,100,Released,This holiday season... believe.,6.4,1474,"Adventure, Animation, Family, Fantasy",Golden Mean,United States of America,US
165000000,http://www.interstellarmovie.net/,157336,en,Interstellar,724.247784,05-Nov-14,675120017,169,Released,Mankind was born on Earth. It was never meant to die here.,8.1,10867,"Adventure, Drama, Science Fiction",Paramount Pictures,Canada,CA
165000000,http://www.warof1996.com,47933,en,Independence Day: Resurgence,48.775723,22-Jun-16,389681935,120,Released,We had twenty years to prepare. So did they.,4.9,2491,"Action, Adventure, Science Fiction",Twentieth Century Fox Film Corporation,United States of America,US
165000000,http://www.shrekforeverafter.com/,10192,en,Shrek Forever After,44.041186,16-May-10,752600867,93,Released,It ain't Ogre... Til it's Ogre,6,1959,"Comedy, Adventure, Fantasy, Animation, Family",DreamWorks Animation,United States of America,US
165000000,http://www.howtotrainyourdragon.com/,10191,en,How to Train Your Dragon,67.263269,05-Mar-10,494878759,98,Released,One adventure will change two worlds,7.5,4227,"Fantasy, Adventure, Animation, Family",DreamWorks Animation,United States of America,US
165000000,http://movies.disney.com/big-hero-6,177572,en,Big Hero 6,203.73459,24-Oct-14,652105443,102,Released,From the creators of Wreck-it Ralph and Frozen,7.8,6135,"Adventure, Family, Animation, Action, Comedy",Walt Disney Pictures,United States of America,US
165000000,http://disney.go.com/wreck-it-ralph,82690,en,Wreck-It Ralph,62.341073,01-Nov-12,471222889,108,Released,The story of a regular guy just looking for a little wreck-ognition.,7.1,4570,"Family, Animation, Comedy, Adventure",Walt Disney Animation Studios,United States of America,US
160000000,,1911,en,The 13th Warrior,27.220157,27-Aug-99,61698899,102,Released,Prey for the living.,6.4,510,"Adventure, Fantasy, Action",Touchstone Pictures,United States of America,US
160000000,,1639,en,Speed 2: Cruise Control,23.336875,13-Jun-97,164508066,121,Released,"As the stakes get higher, the ride gets even faster.",4.1,434,"Action, Adventure, Thriller",Twentieth Century Fox Film Corporation,United States of America,US
160000000,http://www.warcraft-themovie.com/,68735,en,Warcraft,63.148529,25-May-16,433677183,123,Released,Two worlds. One home.,6.3,2268,"Action, Adventure, Fantasy",Universal Pictures,Canada,CA
160000000,http://www.thehungergames.movie/,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,18-Nov-15,653428261,137,Released,The fire will burn forever.,6.6,3984,"Action, Adventure, Science Fiction",Studio Babelsberg,Germany,DE
160000000,http://inceptionmovie.warnerbros.com/,27205,en,Inception,167.58371,14-Jul-10,825532764,148,Released,Your mind is the scene of the crime.,8.1,13752,"Action, Thriller, Science Fiction, Mystery, Adventure",Legendary Pictures,United Kingdom,GB
160000000,http://www2.warnerbros.com/poseidon/,503,en,Poseidon,21.133748,12-May-06,181674817,99,Released,Mayday,5.5,583,"Adventure, Action, Drama, Thriller",Virtual Studios,United States of America,US
160000000,http://www.x-menfirstclassmovie.com/,49538,en,X-Men: First Class,3.195174,24-May-11,353624124,132,Released,Witness the moment that will change our world.,7.1,5181,"Action, Science Fiction, Adventure",Ingenious Film Partners,United States of America,US
160000000,http://www.shrekthethird.com/flash/index.html,810,en,Shrek the Third,42.986467,17-May-07,798958165,93,Released,Who's ready for Thirds?,6,2278,"Fantasy, Adventure, Animation, Comedy, Family",DreamWorks SKG,United States of America,US
155000000,,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,13-Aug-10,415686217,113,Released,Return to magic. Return to hope. Return to Narnia.,6.2,1514,"Adventure, Family, Fantasy",Dune Entertainment,United States of America,US
155000000,,1966,en,Alexander,39.019229,21-Nov-04,167298192,175,Released,The greatest legend of all was real.,5.6,927,"War, History, Action, Adventure, Drama, Romance",France 3 Cinéma,France,FR
155000000,http://www.terminatormovie.com/,87101,en,Terminator Genisys,202.042635,23-Jun-15,440603537,126,Released,Reset the future,5.8,3631,"Science Fiction, Action, Thriller, Adventure",Paramount Pictures,United States of America,US
150000000,,266647,en,Pan,48.03528,24-Sep-15,128388320,111,Released,Every legend has a beginning.,5.9,954,"Adventure, Family, Fantasy",Warner Bros.,United States of America,US
150000000,,117251,en,White House Down,39.004588,27-Jun-13,205366737,131,Released,It will start like any other day.,6.4,1891,"Action, Drama, Thriller",Columbia Pictures,United States of America,US
150000000,,605,en,The Matrix Revolutions,73.313918,05-Nov-03,424988211,129,Released,Everything that has a beginning has an end.,6.4,3096,"Adventure, Action, Thriller, Science Fiction",Village Roadshow Pictures,United States of America,US
150000000,,1724,en,The Incredible Hulk,62.898336,12-Jun-08,163712074,114,Released,You'll like him when he's angry.,6.1,3021,"Science Fiction, Action, Adventure",Universal Pictures,United States of America,US
150000000,,13475,en,Star Trek,73.616808,06-May-09,385680446,127,Released,The future begins.,7.4,4518,"Science Fiction, Action, Adventure",Paramount Pictures,Germany,DE
150000000,,604,en,The Matrix Reloaded,70.78591,15-May-03,738599701,138,Released,Free your mind.,6.7,3443,"Adventure, Action, Thriller, Science Fiction",Village Roadshow Pictures,Australia,AU
150000000,https://www.warnerbros.com/charlie-and-chocolate-factory,118,en,Charlie and the Chocolate Factory,53.905592,13-Jul-05,474968763,115,Released,Willy Wonka is semi-sweet and nuts.,6.7,3624,"Adventure, Comedy, Family, Fantasy",Village Roadshow Pictures,Australia,AU
150000000,http://www.wrathofthetitansmovie.org,57165,en,Wrath of the Titans,44.927635,27-Mar-12,301000000,99,Released,Feel the Wrath,5.5,1431,Adventure,Legendary Pictures,Spain,ES
150000000,http://www.missionimpossible.com/,956,en,Mission: Impossible III,63.079003,03-May-06,397850012,126,Released,The Mission Begins 05:05:06.,6.5,2028,"Adventure, Action, Thriller",Paramount Pictures,China,CN
150000000,http://www.missionimpossible.com,177677,en,Mission: Impossible - Rogue Nation,114.522237,23-Jul-15,682330139,131,Released,Desperate Times. Desperate Measures.,7.1,3224,"Action, Adventure, Thriller",Paramount Pictures,China,CN
150000000,http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006),36557,en,Casino Royale,88.935165,14-Nov-06,599045960,144,Released,Everyone has a past. Every legend has a beginning.,7.3,3855,"Adventure, Action, Thriller",Eon Productions,Italy,IT
150000000,http://www.madmaxmovie.com/,76341,en,Mad Max: Fury Road,434.278564,13-May-15,378858340,120,Released,What a Lovely Day.,7.2,9427,"Action, Adventure, Science Fiction, Thriller",Village Roadshow Pictures,Australia,AU
150000000,http://www.angelsanddemons.com/,13448,en,Angels & Demons,67.447636,13-May-09,356613439,138,Released,,6.5,2129,"Thriller, Mystery",Columbia Pictures,Italy,IT
150000000,http://darkshadowsmovie.warnerbros.com,62213,en,Dark Shadows,50.306728,08-May-12,245527149,113,Released,Every Family Has Its Demons,5.7,2320,"Comedy, Fantasy",Village Roadshow Pictures,Australia,AU
150000000,http://www2.warnerbros.com/batmanbegins/index.html,272,en,Batman Begins,115.040024,10-Jun-05,374218673,140,Released,Evil fears the knight.,7.5,7359,"Action, Crime, Drama",DC Comics,United Kingdom,GB
150000000,http://www.harrypotterorderofthephoenix.com/,675,en,Harry Potter and the Order of the Phoenix,78.144395,28-Jun-07,938212738,138,Released,Evil Must Be Confronted.,7.4,5494,"Adventure, Fantasy, Family, Mystery",Warner Bros.,United Kingdom,GB
150000000,http://harrypotter.warnerbros.com/,674,en,Harry Potter and the Goblet of Fire,101.250416,05-Nov-05,895921036,157,Released,Dark And Difficult Times Lie Ahead.,7.5,5608,"Adventure, Fantasy, Family",Patalex IV Productions Limited,United Kingdom,GB
150000000,http://www.x-menorigins.com/,2080,en,X-Men Origins: Wolverine,5.954334,28-Apr-09,373062864,107,Released,Witness the Origin.,6.2,4021,"Adventure, Action, Thriller, Science Fiction",Ingenious Film Partners,United States of America,US
150000000,http://www.transformersmovie.com/,8373,en,Transformers: Revenge of the Fallen,21.939663,19-Jun-09,836297228,150,Released,Revenge is coming.,6,3138,"Science Fiction, Action, Adventure",Paramount Pictures,United States of America,US
150000000,http://www.transformersmovie.com/,1858,en,Transformers,25.468493,27-Jun-07,709709780,144,Released,Their war. Our world.,6.6,4040,"Adventure, Science Fiction, Action",Paramount Pictures,United States of America,US
150000000,http://www.thelastairbendermovie.com/,10196,en,The Last Airbender,33.769336,30-Jun-10,318502923,103,Released,"Four nations, one destiny",4.7,1151,"Action, Adventure, Family, Fantasy",Paramount Pictures,United States of America,US
150000000,http://www.sonypictures.com/movies/hancock/,8960,en,Hancock,56.758411,01-Jul-08,624029371,92,Released,Bad Behavior. Bad Attitude. Real Hero.,6.2,2961,"Fantasy, Action",Columbia Pictures,United States of America,US
150000000,http://www.shrek2.com/,809,en,Shrek 2,47.320801,19-May-04,919838758,93,Released,Once upon another time...,6.7,2988,"Adventure, Animation, Comedy, Family, Fantasy",DreamWorks SKG,United States of America,US
150000000,http://www.nightatthemuseummovie.com,18360,en,Night at the Museum: Battle of the Smithsonian,81.781591,20-May-09,413106170,105,Released,When the lights go off the battle is on.,5.9,1971,"Adventure, Fantasy, Action, Comedy, Family",Twentieth Century Fox Film Corporation,United States of America,US
150000000,http://www.madagascar-themovie.com,10527,en,Madagascar: Escape 2 Africa,44.141021,30-Oct-08,603900354,89,Released,Still together. Still lost!,6.2,1810,"Family, Animation",DreamWorks Animation,United States of America,US
